#KIC ID, T1 Final, T1 Final Error, T2 Final, T2 Final Error, R1/D Final, R1/D Final Error, R2/R1 Final, R2/R1 Final Error, T2/T1 Input, Flags, Output Source, T1 UBV, Error, T2 UBV, Error, R1/D UBV, Error, R2/R1 UBV, Error, UBV Bands Used, T1 KIS1, Error, T2 KIS1, Error, R1/D KIS1, Error, R2/R1 KIS1, Error, KIS1 Bands Used, T1 KIS2, Error, T2 KIS2, Error, R1/D KIS2, Error, R2/R1 KIS2, Error, KIS2 Bands Used, T1 KIS3, Error, T2 KIS3, Error, R1/D KIS3, Error, R2/R1 KIS3, Error, KIS3 Bands Used
1026032,6149.74884764,359.0971133,4863.11137159,556.424718528,2.02556746721e-11,1.97773673536e-12,0.561935784633,0.208503259246,0.785283285729,00000,1100,6129.35305475,362.639699945,4834.68056056,566.579013217,2.02243238032e-11,2.12741454982e-12,0.579147998927,0.231525893568,1110000111,6201.20657191,381.084863648,4908.01020324,581.418959027,2.03169137309e-11,2.50118199286e-12,0.526301056606,0.294780620465,0001111111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
1026957,4776.69261376,351.739465633,4248.88133763,642.129507126,8.6490462817e-11,4.83663199465e-12,0.517080980652,0.22250502418,0.7,00010,1100,4755.1907499,352.049014065,4544.54792772,721.730289262,8.9341701074e-11,6.1678275731e-12,0.414949917166,0.247808555791,1110000111,4897.16765996,361.330830287,3920.08158358,739.317224492,8.24650424044e-11,7.25202590872e-12,0.748868171425,0.332873009641,0001000111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
1433410,5930.4880119,374.531841162,6032.51843852,650.375118697,2.744406742e-11,2.25349338244e-12,0.648829923149,0.200227022952,0.7,00010,1110,5900.0827322,409.77664465,6040.64999195,754.082965367,2.71831221842e-11,3.11888069368e-12,0.67687871297,0.270406927736,1110000111,5991.31692953,425.972161519,6055.33101495,952.634019997,2.79204991241e-11,2.98452297948e-12,0.594289742981,0.266412808247,0001111111,5909.51860478,424.698236133,6004.59848654,843.885998897,2.71092037418e-11,3.33858569775e-12,0.683511869965,0.288512436177,0001111111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
1433980,6869.50011859,370.871765214,5484.4472471,558.328201046,1.55152622373e-11,2.00704576814e-12,0.965784596382,0.22147658778,0.780860584488,00000,1110,6879.7409207,393.843367909,5463.00567621,569.700449017,1.41134253299e-11,2.30733173211e-12,1.19657487371,0.275046787468,1110000111,6952.73461609,436.439679205,5526.64532578,623.764463657,1.66069684377e-11,2.91858273404e-12,0.769324891956,0.376829698104,0001111111,6796.55524902,412.208092857,5508.42938278,633.854313253,1.72213196433e-11,2.75782823908e-12,0.708313663981,0.343400618433,0001111111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
1571511,5946.32026389,363.672334823,6023.68932986,684.738608673,3.53374990664e-11,2.78550120075e-12,0.590734964165,0.218209134342,0.7,00010,1110,5861.12439887,379.470639716,5937.61294254,863.353912268,3.58521193552e-11,4.3565956756e-12,0.576331757488,0.318570903886,1110000111,6039.1443598,414.755839746,6121.47612345,1019.78819901,3.38203578292e-11,5.38826985897e-12,0.674482481624,0.393619991871,0001111111,6004.70039374,387.881384799,6051.77764591,876.073990264,3.56011117635e-11,3.58445489834e-12,0.567781630032,0.271120253807,0001111111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
1572353,4709.27202315,355.997368219,4457.80963919,557.35940505,2.63961024327e-11,3.39662838372e-12,0.663200042672,0.306245563621,0.943269060768,00000,0100,3910.46397624,557.711917411,3795.16252377,647.856597594,3.09535199463e-11,5.29550108671e-12,0.87005006614,0.274374223473,0000000111,4709.27202315,355.997368219,4457.80963919,557.35940505,2.63961024327e-11,3.39662838372e-12,0.663200042672,0.306245563621,0001111111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
1575690,4207.00769087,370.826198718,3776.45547649,570.044397847,3.06959321375e-11,3.81674216843e-12,0.756220315034,0.308499965785,0.874890985549,00000,0100,3927.22038295,518.346091221,3834.73167838,626.435849617,3.61169566996e-11,1.2696669714e-11,0.899945123848,0.31074085965,1110000000,4207.00769087,370.826198718,3776.45547649,570.044397847,3.06959321375e-11,3.81674216843e-12,0.756220315034,0.308499965785,0001111000,4594.82703925,917.367616824,4200.07142568,850.062005519,2.48307078517e-11,1.50912969364e-11,0.792430416986,0.333719501354,0001000000,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
1722276,5567.25303488,352.315521281,4639.40449387,593.477593508,2.58217639001e-11,1.88142807505e-12,0.69620557318,0.175904878653,0.7,00010,1111,5573.31948885,352.749795008,3811.06671841,644.492698039,2.64643275007e-11,1.96178487274e-12,0.690338328839,0.185533897639,1110000111,5613.15624703,529.098551628,5221.13133008,983.757129076,2.32647738577e-11,3.4359572866e-12,0.801498651945,0.328495641339,0000011111,5532.86552299,383.177439182,5463.47007846,699.834958007,2.34243008894e-11,3.48856699746e-12,0.765290238828,0.332952122127,0001111111,5526.88720559,377.506247981,5523.68168004,905.486683647,2.55510357527e-11,3.4113785582e-12,0.56437120701,0.330281708756,0001111111
1725193,6044.94651593,354.744066329,5988.43059878,554.890459222,2.14023604419e-11,2.26094660228e-12,0.691361965558,0.225272126796,0.978348852398,00000,1100,5982.6882102,356.692598609,5902.11020325,569.158989395,2.22186590811e-11,2.59497587613e-12,0.625045534895,0.263924964514,1110000111,6195.10007472,365.932774495,6076.17663959,569.628042286,2.01941982675e-11,2.94363535297e-12,0.790430648501,0.304870312633,0001111111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
1868650,31302.0725874,2246.68565494,31310.9131554,2498.74173559,6.89610611597e-12,2.58605538127e-12,0.897820937109,0.15974995386,0.999432623885,10001,1100,33028.0141827,683.932923462,33860.2599726,981.065339508,9.53203015774e-12,1.94124444888e-12,0.938385878481,0.264563414182,1110000111,28589.5025258,815.557072891,28980.8705595,951.197579645,5.54381113859e-12,1.80377109621e-12,0.82847595612,0.322008898513,0000111111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
1873513,3539.16714979,350.521806063,4035.02725795,542.808331653,4.33248582942e-11,2.60464373529e-12,0.615239369784,0.182562550847,0.7,00010,1100,3534.129935,350.777131731,3949.12549808,546.77989256,4.23309536798e-11,4.61132978541e-12,0.710396268875,0.355014414815,1110000111,3549.45023873,351.584629075,4095.39131446,544.773114462,4.36044217585e-11,2.81599053189e-12,0.604124010677,0.185994730269,0001111111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
1995732,5197.49053253,353.406631376,5015.59622568,562.94796093,1.72749876965e-11,2.18326144512e-12,0.67025935221,0.248682807985,0.906550173292,00000,1100,5164.51067166,354.745524496,5000.90213703,575.204267473,1.76628291074e-11,2.45385584673e-12,0.637521662465,0.291447288352,1110000111,5280.84097852,361.873340591,5042.25755579,602.35724924,1.66396742533e-11,2.8519405123e-12,0.726020982073,0.358964809259,0001111111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
2010607,6244.52063943,392.324509001,5662.71584428,1183.08119967,8.2952214087e-11,8.27660830907e-12,0.505280378672,0.295652823557,0.7,00010,1000,6244.52063943,392.324509001,5662.71584428,1183.08119967,8.2952214087e-11,8.27660830907e-12,0.505280378672,0.295652823557,1110000111,7251.69735636,1085.41241635,5453.38796774,1406.85088003,6.87243502371e-11,9.34655828254e-12,0.911080834226,0.334527378374,0000000111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
2012362,6589.852636,378.28719894,6135.89162692,692.193976147,2.17029832676e-11,2.41294811387e-12,0.731886601474,0.242356038827,0.964630799004,00000,1100,6623.6711804,409.378471059,5216.25165438,1376.69923781,2.18048234198e-11,3.17535346795e-12,0.801965584645,0.331674089382,1110000111,6561.40362829,400.538955788,6257.67262205,709.90563967,2.16286182851e-11,2.84501144755e-12,0.682357607368,0.290425391702,0001111111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
2019076,6199.79520463,360.965487245,5184.68632786,561.42136105,1.34017030221e-11,1.8596580231e-12,0.853293558792,0.20879907958,0.86452837934,00000,1110,6316.86438373,397.137919661,4971.18932908,612.85759662,1.27096818791e-11,2.1861387679e-12,1.0005083556,0.291634542482,1110000111,6143.39147265,374.788431712,5289.3922415,590.751863558,1.40927908877e-11,2.30822458972e-12,0.728848979646,0.307174176298,0001111111,6195.61858046,380.94136836,5239.6370479,606.804249271,1.35508856862e-11,2.19692442201e-12,0.817762113814,0.282232519447,0000111111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
2141697,6325.53096044,369.295487989,6322.10629029,698.774646785,2.98603220893e-11,3.27965432308e-12,0.794033090102,0.253122771469,1.00283876641,00000,1100,6273.21865812,373.216016102,5914.09137698,967.52905745,2.99193458909e-11,4.22240810222e-12,0.822671906909,0.304591555129,1110000111,6574.94401291,450.057546411,6501.30700634,758.070428232,2.97931838261e-11,4.46173211159e-12,0.752557624201,0.352527332765,0001100111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
2159783,6134.70052806,353.095612237,6085.70447602,546.057085421,1.68624079559e-11,1.96654519513e-12,0.739941695227,0.208096023555,0.988027379788,00000,0111,5997.00564807,358.124920597,5901.09797545,573.070335991,1.7119924882e-11,3.12779779742e-12,0.731202463426,0.397073391168,1110000111,6254.33292038,359.026299599,6181.08630535,560.247327902,1.69904825277e-11,2.37431267582e-12,0.697417295567,0.275940054458,0001111111,6303.24606983,362.821809823,6222.03376009,557.064689459,1.59010129112e-11,2.65994543323e-12,0.843256538853,0.324419388247,0001111111,5943.07557681,357.295903911,5870.40099789,556.972920281,1.74626447755e-11,2.47213637712e-12,0.71365628748,0.283136843992,0001111111
2161623,7045.06388511,765.719499064,5106.80049149,1085.75675442,1.93064032754e-11,2.17468949483e-12,0.911885533271,0.197344441501,0.7,00010,1010,6907.20309047,1317.41862043,4483.86416506,1397.83531419,1.97772776469e-11,2.5368940023e-12,0.936558985932,0.213132430199,1110000111,6902.22742404,1100.12491997,5748.33511495,1502.47693542,1.9042937244e-11,3.05225287951e-12,0.880334364338,0.333800342659,0000000111,7100.70243949,879.49970322,5819.90658329,1481.407129,1.8749577415e-11,2.66752852009e-12,0.849275522453,0.28403227061,0001111111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
2162283,7526.04407935,350.048880538,7522.81331404,540.023131841,1.2810934711e-10,3.89178613678e-12,0.802156588602,0.161520664836,1.0,00001,1110,7526.85673942,454.783777078,7521.18923254,622.393586183,1.30047345926e-10,1.88726450733e-11,0.770516322719,0.360303328664,0000000111,7518.68538458,454.147438578,7517.74409512,623.613737744,1.31080943191e-10,1.64049926168e-11,0.751548336928,0.313858791531,0000000111,7532.96449937,459.308667056,7529.64121184,624.875817801,1.23137482395e-10,1.73653583556e-11,0.887049490942,0.332970554081,0000000111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
2162994,5823.80793639,357.92474648,5684.62598669,551.345949588,2.53576549881e-11,2.79008866e-12,0.851077998156,0.242978750462,0.975003092001,00000,1100,5785.87366769,367.656262219,5627.91559736,576.259001469,2.57766729002e-11,3.57203628015e-12,0.82244809605,0.306428758084,1110000111,5853.9475577,364.098191036,5709.6226484,556.27351158,2.49303376092e-11,3.59978722252e-12,0.881086641838,0.311988707745,0001111111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
2166200,6807.99402283,695.940110515,5722.81134509,1629.07821825,5.33911616063e-12,1.73375993589e-12,0.6857816524,0.308565354003,0.7,00010,0100,6976.09222918,640.100503627,8640.0416532,2817.2322498,4.78038698472e-12,1.81677111489e-12,0.503607987631,0.325974337581,1110000000,6807.99402283,695.940110515,5722.81134509,1629.07821825,5.33911616063e-12,1.73375993589e-12,0.6857816524,0.308565354003,0001111000,-1,-1,-1,-1,-1,-1,-1,-1,0000000000,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
