# kic,kepID,P,esinw,∆esinw,ecosw,∆ecosw,e,∆e,w,∆w,t_pe (bjd-2454833),inc,∆inc,m1,∆m1,m2,∆m2,m2/m1,∆m2/m1,r1,∆r1,r2,∆r2,F2/F1(Kep),∆F2/F1,logg1,∆logg1,logg2,∆logg2,T1,∆T1,T2,∆T2,[m/H],∆[m/H],age (Gyr),Pplanet,∆Pp,eplanet,∆ep,i_p,∆i_p,mp (Mj),∆mp,rp (Rj),∆rp,u11,u12,u21,u22,#sec_transits (detected),depth,
9837578,35,20.733666,0.1418,0.0015,0.0086413,0.000003,0.1421,0.0015,,,132.848,90.4238,0.0076,0.8877,0.0053,0.8094,0.0045,,,1.0284,0.002,0.7861,0.0022,0.3941,0.001,4.3623,0.002,4.5556,0.0016,5606,150,5202,100,-0.34,0.2,10,131.458,0.105,0.042,0.007,90.76,0.12,0.127,0.02,0.728,0.014,0.3795,0.2484,0.9506,0.0379,1,0.00516,
8572936,34,27.7958103,0.49377,0.0006,0.165828,0.000065,0.52087,0.00055,,,146.72308,89.8584,0.008,1.0479,0.0033,1.0208,0.0022,,,1.1618,0.0031,1.0927,0.0032,0.8475,0.01,4.3284,0.0023,4.3703,0.0024,5913,130,5867,130,-0.07,0.15,5.5,288.822,0.081,0.182,0.02,90.355,0.026,0.22,0.01,0.764,0.014,0.2777,0.4127,0.36966,0.29605,1,0.00437,
10020423,47,7.44837695,-0.0125038,,-0.01977912,,0.0234,0.0010,212.3,4.4,137.693654,89.34,0.12,1.043,0.055,0.362,0.013,,,0.964,,0.3506,,0.00568,,,,,,,,,,,,,49.514,,0.035,,,,,,,,-9.999,-9.999,-9.999,-9.999,0,8.03E-04,
12644769,16,41.07922,-0.1584,0.00063,-0.0181481,0.0000045,0.15944,0.0006,,,,90.3401,0.0019,0.6897,0.0035,0.20255,0.00066,,,0.6489,0.0013,0.22623,0.00059,0.01555,0.0001,,,,,,,,,,,,228.776,0.037,0.00685,0.001,90.0322,0.0023,0.333,0.016,0.7538,0.0026,,,,,3,0.0136,
6762829,38,18.79537,-0.10315,,-0.002377,,0.1042,0.0012,268.695,0.039,,89.265,0.025,0.949,0.06,0.2492,0.06,,,1.757,0.034,0.2724,0.005,0.0009081,0.000007,3.926,0.01,4.964,0.0026,,,,,,,,105.595,,0.032,,,,,,,,-9.999,-9.999,-9.999,-9.999,0,5.15E-04,
12351927,413,10.116146,-0.035984,,0.006112,,0.0365,0.0021,279.74,0.62,139.9815199,87.332,0.06,0.82,0.015,0.5423,0.008,,,0.7761,0.0096,0.484,0.027,0.059,0.01,4.5721,0.01,4.802,0.046,4700,,3463,,-0.2,,,66.262,0.021,0.118,,89.929,0.16,0.2105,0.08,0.01367,0.005,-9.999,-9.999,-9.999,-9.999,0?,0.00264,
4862625,64,20.000214,-0.1291,0.0084,-0.16773,0.00021,0.2117,0.0084,217.6,1.9,134.81776,87.36,0.072,1.384,0.079,0.387,0.023,,,1.75,0.22,0.422,0.038,0.001533,0.0001,4.089,0.014,4.772,0.071,6407,150,3561,150,0.21,0.08,2,138.506,0.107,0.0539,0.0081,90.022,0.072,<0.53,,0.5513,0.0125,,,,,0,0.001,
9632895,453,27.322037,-0.0506,0.0037,-0.006338,0.000016,0.051,0.0037,262.86,0.48,,90.275,0.052,0.934,0.01,0.1938,0.002,,,0.833,0.011,0.2143,0.0014,,,4.566,0.015,5.063,0.005,5527,100,3309,100,0.09,0.08,2,240.503,0.053,0.0379,0.0088,89.4338,0.0056,0.0003,0.05,0.55,0.005,0.413,0.331,0.4,0.37,0,0.0046,
5473556,1647,11.2588179,-0.1384,0.0007,0.081419,0.000008,0.1602,0.0004,300.5442,0.0883,123.48005,87.9164,0.0145,1.2207,0.0112,0.9678,0.0039,0.7939,0.0019,1.7903,0.0055,0.9663,0.0057,,,4.018,0.002,4.4534,0.004,,,,,-0.14,0.05,4.4,1107.5923,0.0227,0.0581,0.0689,90.0972,0.0035,1.52,,1.059,,,,,,,,Kostov et al 2016
5738698,,4.80877396,,,,,0.0006,0.0003,52,23,859.3348,86.33,0.03,1.39,0.04,1.34,0.06,,,1.84,0.03,1.72,0.03,,,4.0525,0.0004,4.0933,0.0006,6792,0,6740,52,-0.23,0.04,2.13,,,,,,,,,,,,,,,,,
9851944,,2.16390189,,,,,0,,,,508.03987,74.52,0.02,1.76,0.07,1.79,0.07,,,2.27,0.03,3.19,0.04,,,3.96,0.03,3.69,0.03,7026,100,6902,100,,,,,,,,,,,,,,,,,,,,
8262223,,1.61301476,,,,,0,,,,599.522844,75.178,0.0002,1.96,0.006,0.21,0.001,,,1.67,0.004,1.32,0.003,,,4.28,0.002,3.52,0.002,9128,,6885,,,,,,,,,,,,,,,,,,,,,
10935310,,4.12879671,0.0438,0.0121,-0.00176,0.00002,0.0439,0.0026,,,124.3211609,86.2,0.2,0.92,0.05,0.5,0.03,,,0.92,0.03,0.47,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3230227,,7.047106,,,,,0.6,0.005,293,1,125.791621,73.42,0.27,1.84,0.18,1.73,0.17,,,2.01,0.09,1.68,0.08,,,4.1,0.06,4.23,0.06,8000,,8177,30,,,,,,,,,,,,,,,,,,,,
6131659,,17.52782716,,,,,0,,,,283.820595,89.186,0.019,0.922,0.007,0.685,0.005,,,0.88,0.0028,0.6395,0.0061,,,,,,,5789,50,4609,32,,,,,,,,,,,,,,,,,,,,
8560861,,31.97325,,,,,0.0477,0.002,40.08,0.08,133.8687,87.32,0.15,1.93,0.12,1.06,0.08,,,3.3,0.07,1.11,0.03,,,3.71,0.03,4.38,0.04,7650,100,6450,100,,,0.9,,,,,,,,,,,,,,,,,
7605600,,3.32619385,-0.0013,0.003,0.000133,0.000009,0.0013,0.004,,,173.244102,89.38,0.03,0.53,0.02,0.17,0.01,0.32,0.01,0.501,0.002,0.199,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Han et al. (2019)
