##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): Oct. 26; 2015; 3:04 p.m.
## Download Date (Y/M/D): 2016/02/01
##
## Query String: {&quot;sort&quot;:&quot;p&quot;;&quot;kics&quot;:[];&quot;campaign&quot;:[&quot;-2&quot;];&quot;etvlong&quot;:1;&quot;cols&quot;:[&quot;sdepth&quot;;&quot;pdepth&quot;;&quot;glon&quot;;&quot;scdata&quot;;&quot;pteff&quot;;&quot;cteff&quot;;&quot;ra&quot;;&quot;bjd0&quot;;&quot;morph&quot;;&quot;glat&quot;;&quot;kic&quot;;&quot;lcdata&quot;;&quot;dec&quot;;&quot;keff&quot;;&quot;p&quot;;&quot;sep&quot;;&quot;pwidth&quot;;&quot;swidth&quot;;&quot;figs&quot;;&quot;kmag&quot;];&quot;etvshort&quot;:1;&quot;incat1&quot;:1;&quot;kois&quot;:[]}
##
#KIC;period;bjd0;pdepth;sdepth;pwidth;swidth;sep;morph;RA;DEC;GLon;GLat;kmag;Teff;Teff(Pinsonneault);Teff(Casagrande);SC;
10417986;0.0737309;55000.027476;0.0004;0.0004;0.2465;0.2500;0.5027;0.99;296.7488;47.5438;81.0390;11.0820;9.1280;-1.0000;-1.0000;-1.0000;1;
8912468;0.0948380;54953.576945;0.0041;0.0041;0.2515;0.2496;0.5029;0.98;300.1156;45.1679;80.1095;7.8882;11.7510;6194.0000;6464.0000;6839.0000;0;
8758716;0.1072049;54953.672989;0.0144;0.0143;0.2459;0.2445;0.5021;1.00;293.8519;44.9494;77.7478;11.6565;13.5310;-1.0000;-1.0000;-1.0000;0;
10855535;0.1127824;54964.629315;0.0130;0.0130;0.2522;0.2461;0.5020;0.99;289.2119;48.2031;79.3949;15.9212;13.8700;7555.0000;-9999.0000;7406.0000;0;
9472174;0.1257653;54953.643178;0.0462;-1.0000;0.2122;-1.0000;1.0000;0.78;294.6359;46.0664;79.0187;11.6745;12.2640;10645.0000;-9999.0000;-9999.0000;1;
9612468;0.1334715;54953.603803;0.0010;0.0010;0.2533;0.2499;0.5030;1.00;299.9821;46.2624;81.0112;8.5285;11.5310;7202.0000;-9999.0000;7430.0000;0;
6613627;0.1507996;55115.344848;0.0067;0.0067;0.2510;0.2529;0.5033;0.98;293.9765;42.0483;75.1606;10.2517;12.5480;7090.0000;-9999.0000;7189.0000;0;
5302006;0.1511712;54980.509040;0.0023;-1.0000;0.2665;-1.0000;1.0000;0.97;298.2990;40.4703;75.3495;6.6449;15.0500;6536.0000;6730.0000;7302.0000;0;
9898401;0.1527742;54964.733972;0.0028;0.0028;0.2471;0.2473;0.5024;0.99;294.8448;46.7042;79.6654;11.8375;12.0730;7376.0000;-9999.0000;-9999.0000;0;
7375612;0.1600729;54953.638704;0.0243;0.0242;0.2619;0.2577;0.5020;0.97;295.4670;42.9279;76.4714;9.6904;12.0410;6682.0000;6935.0000;6918.0000;0;
5872696;0.1726132;54953.798710;0.0062;0.0062;0.2498;0.2537;0.5029;0.99;290.5962;41.1856;73.2243;12.1282;11.8540;-1.0000;-1.0000;-1.0000;0;
7767774;0.1733883;55007.740259;0.0033;0.0033;0.2491;0.2499;0.5025;0.99;296.4773;43.4748;77.3150;9.3041;12.5110;-1.0000;-1.0000;-1.0000;0;
12350008;0.1845296;55002.014438;0.0017;0.0016;0.1659;0.1724;0.5023;0.71;287.2598;51.1542;81.7612;18.1985;14.6020;6108.0000;6356.0000;6241.0000;0;
10684673;0.1925563;55026.598808;0.0106;-1.0000;0.2528;-1.0000;1.0000;1.00;298.4267;47.9742;81.9764;10.3016;11.1250;7106.0000;-9999.0000;6873.0000;1;
9532219;0.1981551;55001.945386;0.0664;0.0622;0.1436;0.1064;0.4984;0.77;294.2168;46.1802;78.9874;11.9849;16.1180;5031.0000;-1.0000;-1.0000;0;
6699679;0.2012033;54953.612834;0.0057;0.0057;0.2486;0.2551;0.5031;1.00;294.0955;42.1616;75.3042;10.2256;11.5740;-1.0000;-1.0000;-1.0000;0;
6287172;0.2038732;54953.651911;0.0031;0.0031;0.2484;0.2625;0.5039;0.95;292.4987;41.6292;74.2716;11.0419;12.7140;6646.0000;6896.0000;6721.0000;0;
11825204;0.2096356;54964.746093;0.0234;0.0234;0.2346;0.2422;0.5006;0.98;297.0304;50.0557;83.3887;12.1048;13.7970;7074.0000;-9999.0000;7271.0000;0;
4921906;0.2137324;54964.617446;0.0202;0.0232;0.2594;0.2491;0.5140;0.96;291.2036;40.0794;72.4130;11.2310;15.2030;4800.0000;5002.0000;-9999.0000;0;
6387887;0.2169003;54999.968602;0.3156;-1.0000;0.1359;-1.0000;1.0000;0.58;298.1854;41.7340;76.4069;7.3539;17.0370;10648.0000;-1.0000;-1.0000;0;
8288741;0.2197664;55000.119225;0.0010;0.0009;0.1437;0.1326;0.4992;0.64;287.3679;44.2732;75.1191;15.5587;14.4990;5557.0000;5817.0000;5864.0000;0;
12055255;0.2209394;54964.525184;0.0818;0.0690;0.2471;0.2438;0.5050;0.90;287.6871;50.5377;81.2592;17.7243;15.8660;4093.0000;4208.0000;-9999.0000;0;
11013201;0.2273937;55001.990706;0.0002;-1.0000;0.2377;-1.0000;1.0000;0.98;282.0003;48.5422;77.9525;20.5223;9.2750;7779.0000;-9999.0000;-9999.0000;1;
8108785;0.2288269;54964.640700;0.2440;0.1933;0.1122;0.1386;0.5016;0.76;295.6033;43.9256;77.4115;10.0745;14.7570;4354.0000;4497.0000;4374.0000;0;
1572353;0.2289313;54964.674573;0.0977;0.0785;0.2556;0.2472;0.5036;0.91;291.1886;37.1616;69.7485;9.9451;15.2340;4470.0000;4643.0000;4502.0000;0;
10288502;0.2301847;54964.677419;0.0160;0.0154;0.2397;0.2304;0.5035;0.97;297.0418;47.3939;81.0008;10.8364;14.7940;6116.0000;6374.0000;6306.0000;0;
9238207;0.2313530;55001.966607;0.0989;0.0725;0.1509;0.1122;0.5076;0.75;298.4960;45.6001;79.9056;9.0882;15.6100;4910.0000;-1.0000;-1.0000;0;
5166136;0.2339477;54964.809081;0.0115;-1.0000;0.2490;-1.0000;1.0000;0.82;284.1178;40.3491;70.3939;16.2799;15.3490;4986.0000;5186.0000;5233.0000;0;
8555795;0.2345234;55000.099196;0.0029;-1.0000;0.1157;-1.0000;1.0000;0.63;290.2381;44.6484;76.3279;13.8353;15.9190;5002.0000;5187.0000;5712.0000;0;
6144827;0.2346497;54964.644135;0.0389;0.0330;0.1284;0.1481;0.4942;0.82;297.4123;41.4411;75.8604;7.7098;14.9970;5217.0000;5429.0000;5557.0000;0;
10030943;0.2357801;54953.674633;0.0077;0.0076;0.2576;0.2609;0.5031;1.00;298.5518;46.9368;81.1019;9.7171;11.3260;6704.0000;6850.0000;6742.0000;1;
10965091;0.2358555;54964.696236;0.3207;0.3521;0.1332;0.1024;0.5015;0.76;286.0731;48.4015;78.7688;17.9309;15.2800;4718.0000;4956.0000;4766.0000;0;
2715417;0.2364399;54964.666158;0.1005;0.0886;0.1445;0.1210;0.5004;0.77;291.9690;37.9278;70.7256;9.7376;14.0700;5189.0000;5389.0000;5551.0000;0;
11413213;0.2374665;55002.094949;0.2243;0.1933;0.1827;0.1869;0.5013;0.87;296.5389;49.2924;82.5467;12.0281;15.8610;4213.0000;-1.0000;-1.0000;0;
9077796;0.2380804;54964.645249;0.0579;-1.0000;0.0426;-1.0000;1.0000;0.72;286.7326;45.4959;76.1139;16.4436;15.4390;3516.0000;-9999.0000;4252.0000;0;
6050116;0.2399081;54964.708006;0.3528;0.3354;0.1682;0.1231;0.4979;0.79;294.1380;41.3396;74.5792;9.8170;14.2580;4569.0000;4817.0000;-9999.0000;0;
12458797;0.2413212;55182.791088;0.1207;0.0997;0.2500;0.2499;0.4907;0.94;290.5310;51.3086;82.7162;16.3581;13.8950;4583.0000;-1.0000;-1.0000;0;
6350020;0.2417928;54964.613787;0.0098;0.0093;0.1439;0.1277;0.5010;0.74;286.6452;41.7034;72.4528;15.0395;15.3830;5592.0000;5803.0000;5885.0000;0;
7198474;0.2423046;55000.068173;0.0058;0.0057;0.1534;0.1270;0.4990;0.76;291.2318;42.7040;74.8344;12.3585;15.5560;5759.0000;5986.0000;6067.0000;0;
7546791;0.2423615;54964.604015;0.0529;0.0468;0.2460;0.2235;0.5084;0.94;296.7738;43.1103;77.0974;8.9391;13.5660;5038.0000;5220.0000;-9999.0000;0;
