# kic,kepID,P,esinw,∆esinw,ecosw,∆ecosw,e,∆e,w,∆w,t_pe (bjd-2454833),inc,∆inc,m1,∆m1,m2,∆m2,m2/m1,∆m2/m1,r1,∆r1,r2,∆r2,F2/F1(Kep),∆F2/F1,logg1,∆logg1,logg2,∆logg2,T1,∆T1,T2,∆T1,[m/H],∆[m/H],age (Gyr),Pplanet,∆Pp,eplanet,∆ep,i_p,∆i_p,mp (Mj),∆mp,rp (Rj),∆rp,u11,u12,u21,u22,#sec_transits (detected),depth
4932691,,18.1120792,,,,,0.37886,0.00001,181.7,0.7,,88.06,0.02,,,,,0.393,0.003,0.0436,0.0003,0.0153,0.0002,0.05,,,,,,7164,48,5473,28,,,,,,,,,,,,,,,,,,,
6841577,,15.5375346,,,,,0.1228,0.00003,162.3,0.4,,88.81,0.03,,,,,0.316,0.002,0.0391,0.0004,0.0176,0.0003,0.046,,,,,,5560,19,3601,12,,,,,,,,,,,,,,,,,,,
8610483,,48.7993681,,,,,0.3936,0.0001,32.9,0.4,,88.81,0.04,,,,,0.468,0.004,0.0174,0.0001,0.0205,0.0005,0.963,,,,,,6158,14,5653,3,,,,,,,,,,,,,,,,,,,
8378922,,43.2633058,,,,,0.2935,0.0001,112.8,0.2,,89.09,0.01,,,,,0.573,0.005,0.0229,0.0006,0.0234,0.0005,0.902,,,,,,5548,20,5356,25,,,,,,,,,,,,,,,,,,,
9025914,,11.3203214,,,,,0.38029,0.00008,5.5,0.4,,88.07,0.06,,,,,0.607,0.005,0.0446,0.0002,0.0219,0.0001,0.052,,,,,,6165,19,4327,15,,,,,,,,,,,,,,,,,,,
9344623,,14.7594793,,,,,0.18902,0.00005,191.5,0.2,,88.99,0.02,,,,,0.658,0.005,0.047,0.0002,0.0374,0.0001,0.579,,,,,,6395,12,6241,12,,,,,,,,,,,,,,,,,,,
10296163,,9.2967644,,,,,0.3674,0.0001,228.2,0.2,,88.53,0.02,,,,,0.401,0.003,0.057,0.0002,0.0258,0.0001,0.03,,,,,,6292,14,4121,18,,,,,,,,,,,,,,,,,,,
5986209,,23.7379705,,,,,0.3482,0.0002,55.5,0.2,,89.1,0.03,,,,,0.339,0.008,0.0188,0.0003,0.0144,0.0002,0.333,,,,,,5503,25,4868,24,,,,,,,,,,,,,,,,,,,
12217907,,43.2045856,,,,,0.38819,0.00004,228.7,0.1,,89.54,0.03,,,,,0.482,0.006,0.0253,0.0003,0.0111,0.0004,0.078,,,,,,5850,15,4736,13,,,,,,,,,,,,,,,,,,,
9119405,,18.6463233,,,,,0.44113,0.00001,168.3,0.5,,88.08,0.04,,,,,0.98,0.001,0.0525,0.0004,0.0275,0.0003,0.28,,,,,,5549,22,5573,24,,,,,,,,,,,,,,,,,,,
10490960,,5.6824111,,,,,0.10173,0.00007,41,0.7,,86.32,0.09,,,,,0.949,0.006,0.0898,0.0007,0.0586,0.0006,0.449,,,,,,5763,34,5838,31,,,,,,,,,,,,,,,,,,,
9673173,,21.29474,,,,,0.5651,0.00001,0.8,0.4,,87.22,0.04,,,,,0.752,0.001,0.0436,0.0002,0.0158,0.0003,0.102,,,,,,5856,12,5683,14,,,,,,,,,,,,,,,,,,,
5080652,,4.1443566,,,,,,,,,,86.1,0.01,,,,,0.683,0.001,0.085,0.002,0.083,0.001,0.56,,,,,,5447,21,4867,25,,,,,,,,,,,,,,,,,,,
5285607,,3.8994011,,,,,,,,,,77.7,0.01,,,,,0.515,0.001,0.13,0.001,0.129,0.001,0.89,,,,,,6210,19,6058,28,,,,,,,,,,,,,,,,,,,
9236858,,2.5370818,,,,,,,,,,85.2,0.01,,,,,0.577,0.001,0.177,0.001,0.081,0.001,0.06,,,,,,6676,15,4993,19,,,,,,,,,,,,,,,,,,,
11975363,,3.5184191,,,,,,,,,,87.3,0.01,,,,,0.436,0.001,0.093,0.002,0.089,0.001,0.85,,,,,,5517,12,5420,23,,,,,,,,,,,,,,,,,,,
