# kic,kepID,P,esinw,∆esinw,ecosw,∆ecosw,e,∆e,w,∆w,t_pe (bjd-2400000),t_pe (bjd-2454833),inc,∆inc,m1,∆m1,m2,∆m2,r1,∆r1,r2,∆r2,F2/F1(Kep),∆F2/F1,logg1,∆logg1,logg2,∆logg2,T1,∆T1,T2,∆T2,[m/H],∆[m/H],age (Gyr),Pplanet,∆Pp,eplanet,∆ep,i_p,∆i_p,mp (Mj),∆mp,rp (Rj),∆rp,u11,u12,u21,u22,#sec_transits (detected),depth
2305372,,1.40469145,,,,,0,,,,55693.58496,860.58496,90,,1.2,0.1,0.62,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708156,,1.89126932,,,,,0,,,,55690.0395,857.0395,84.2,,4.05,0.3,0.92,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3241619,,1.70334707,,,,,0,,,,55694.5003,861.5003,84,,1.24,0.04,0.86,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3327980,,4.23102194,,,,,0,,,,55699.0742,866.074202,85.1,,1.66,0.07,1.44,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3440230,,2.88110031,,,,,0,,,,55690.39643,857.39643,86.8,,1.6,0.1,0.4,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4544587,,2.1891143,,,,,0.28,,329,,55689.67304,856.673044,87.9,,1.69,0.1,1.42,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4574310,,1.30622004,,,,,0,,,,55644.3465,811.346499,82.5,,1.38,0.06,0.31,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4660997,,0.5625607,,,,,0,,,,55654.43913,821.43913,80.5,,1.16,0.07,0.88,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4665989,,2.248067589,,,,,0,,,,55646.91728,813.917282,82.5,,1.77,0.09,1.32,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4848423,,3.0036461,,,,,0,,,,55928.709,1095.709,87.3,,1.22,0.05,1.08,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4851217,,2.47028283,,,,,0.03,,211,,55643.109,810.109,77.8,,1.43,0.05,1.55,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5444392,,1.51952889,,,,,0,,,,55688.8483,855.8483,86.3,,1.17,0.01,1.19,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5513861,,1.51020825,,,,,0,,,,55625.52615,792.52615,80.9,,1.5,0.04,1.32,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5621294,,0.938905233,,,,,0,,,,55693.43209,860.432093,75.3,,2.2,0.4,0.54,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5738698,,4.80877396,,,,,0,,,,55692.33487,859.33487,86.3,,1.52,0.03,1.44,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6206751,,1.24534281,,,,,0,,,,55683.78307,850.783072,76.3,,1.5,0.05,0.198,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8262223,,1.61301473,,,,,0,,,,55692.2179,859.217903,75.2,,1.91,0.03,0.205,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8552540,,1.06193426,,,,,0,,,,55692.5027,859.5027,80.7,,1.32,0.03,1.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8823397,,1.5065037,,,,,0,,,,55686.10016,853.100164,82.1,,2.1,0.2,0.21,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9159301,,3.04477215,,,,,0,,,,55693.13726,860.13726,81.1,,1.61,0.08,0.4,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9402652,,1.07310422,,,,,0,,,,55689.37059,856.37059,80.7,,1.39,0.02,1.39,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9592855,,1.21932483,,,,,0,,,,55691.66407,858.664073,74.1,,1.7,0.1,1.72,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9602595,,3.5565129,,,,,0,,,,55642.26003,809.26003,86.5,,3,0.1,0.6,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9851944,,2.16390178,,,,,0,,,,55646.15011,813.15011,74.5,,1.7,0.04,1.83,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
