#Note: distances quoted are in parsecs, Gaia distances are from Bailer-Jones+2018;
# primary and secondary eclipse depths and morphology are taken from Villanova EB catalogue;
# ETV flag from visual inspection, where 0=False, 1=True, and keywords 'b', 'r', 'c' refer
# to triple identification by Borkovits+2016, Rappaport+2012, Conroy+2014, respectively.
#KIC keblat_dist keblat_dist_err gaia_dist gaia_dist_err rel_dist_err pe_depth se_depth morph etv_flag
10000490 1198.47 25.85 689.82 12.46 0.7374 0.075 0.019 0.56 0
10015516 1114.78 33.47 1133.82 30.58 0.0168 0.108 0.027 0.25 0
10020423 1099.85 18.97 1025.02 30.65 0.0730 0.159 0.005 0.15 0
10026136 4133.00 136.80 4100.00 496.54 0.0080 0.290 0.242 0.18 0
10026457 4809.61 324.08 934.49 46.88 4.1468 0.060 0.060 0.19 0
10031409 909.08 10.19 964.32 14.39 0.0573 0.188 0.179 0.35 0
10031808 461.91 5.14 467.26 6.05 0.0115 0.258 0.076 0.28 0
10063044 2725.70 152.28 1688.52 43.83 0.6143 0.166 0.045 0.59 0
10095512 796.35 9.67 841.10 11.65 0.0532 0.115 0.053 0.24 1brc
10129482 547.60 28.26 980.97 184.75 0.4418 0.183 0.051 0.48 0
10155080 1021.64 25.10 -99.99 -99.99 -99.99 0.062 0.039 0.29 0
10156064 543.20 5.87 659.61 11.60 0.1765 0.126 0.055 0.32 0
10191056 558.29 6.33 602.44 7.80 0.0733 0.182 0.183 0.53 0
10198109 717.10 13.37 924.40 106.21 0.2243 0.126 0.005 0.07 0
10208759 2915.84 77.31 3201.07 193.42 0.0891 0.366 0.334 0.51 0
10215422 1013.01 16.06 1060.91 20.92 0.0451 0.291 0.058 0.07 1
10215869 744.96 26.19 997.93 17.18 0.2535 0.151 0.010 0.24 0
10257903 1755.54 66.37 1978.87 100.21 0.1129 0.104 0.069 0.59 0
10258558 1366.53 26.07 1270.59 31.17 0.0755 0.072 0.071 0.11 0
10259029 934.65 110.79 -99.99 -99.99 -99.99 0.114 0.014 0.12 0
1026032 2146.60 86.58 2321.17 117.18 0.0752 0.071 0.027 0.15 0
10264202 1974.69 41.65 1464.03 72.77 0.3488 0.101 0.070 0.50 0
10268903 644.99 58.94 610.20 39.20 0.0570 0.064 0.032 0.39 1b
10274244 133.42 0.91 154.43 0.66 0.1361 0.192 0.011 0.08 0
10275074 1571.40 33.92 1783.98 59.33 0.1192 0.084 0.082 0.33 0
10287248 291.66 21.10 -99.99 -99.99 -99.99 0.083 0.007 0.20 0
10292238 1916.71 15.92 1806.01 74.74 0.0613 0.233 0.236 0.02 1
10294608 982.27 10.92 828.10 13.01 0.1862 0.449 0.351 0.37 0
10296163 718.29 10.69 751.49 8.46 0.0442 0.206 0.026 0.17 1b
10330495 2017.48 50.73 1640.78 52.92 0.2296 0.062 0.008 0.18 0
10332789 2216.14 93.29 1964.35 148.34 0.1282 0.134 0.006 0.08 0
10345862 1331.87 50.97 1176.21 26.08 0.1323 0.157 0.061 0.09 0
10352603 4076.65 56.49 2394.63 123.85 0.7024 0.411 0.370 0.07 1
10363300 1724.47 38.41 -99.99 -99.99 -99.99 0.135 0.051 0.56 0
10383696 2852.49 150.69 3328.71 639.54 0.1431 0.082 0.009 0.13 0
10385682 2515.35 43.42 2119.14 122.30 0.1870 0.349 0.333 0.34 0
10420279 1331.03 18.12 1333.75 35.14 0.0020 0.435 0.386 0.03 0
10454401 1503.61 14.11 1588.68 62.62 0.0535 0.384 0.315 0.12 0
10462826 1381.34 22.77 1920.72 106.37 0.2808 0.098 0.020 0.03 0
10480952 869.58 58.39 646.36 8.96 0.3453 0.261 0.263 0.38 0
10487119 2194.71 58.92 3265.40 405.43 0.3279 0.076 0.066 0.20 0
10489521 3161.69 204.20 4296.37 826.89 0.2641 0.340 0.209 0.38 0
10491031 1655.10 54.18 1567.27 39.08 0.0560 0.207 0.206 0.42 0
10491554 855.68 54.74 2183.09 98.70 0.6080 0.240 0.188 0.07 0
