#kic fratio(Kepband) log10(T1) log10(T2) logg1 logg2
10000490 7.936171e-02 4.0417 3.8571 3.94 4.24
10031409 7.749579e-01 3.8035 3.7931 4.35 4.40
10031808 8.708500e-01 3.8256 3.8098 3.81 3.80
10074700 1.081012e-02 3.7299 3.6577 3.43 4.65
10155080 2.460190e-01 3.8831 3.8070 4.18 4.38
10156064 2.778779e-01 3.9260 3.8289 4.17 4.25
10215422 6.394183e-02 3.7573 3.6280 4.34 4.64
10215869 7.542740e-03 3.7721 3.5204 4.38 4.35
10258558 5.578921e-01 3.7925 3.7723 4.33 4.47
10259029 2.708789e-02 3.5930 3.4607 4.54 4.55
1026032 9.111282e-02 3.8042 3.7157 4.12 4.60
10264202 2.611596e-01 3.7766 3.7117 4.39 4.57
10268903 3.760826e-01 3.5961 3.5580 4.71 4.81
10274244 1.111448e-02 3.7470 3.5385 4.52 4.94
10275074 9.549308e-01 3.7991 3.7959 4.23 4.23
10292238 3.321056e-01 3.7849 3.7623 4.12 4.45
10294608 5.933341e-01 3.8444 3.8145 4.31 4.37
10296163 2.377693e-02 3.8223 3.6227 4.30 4.70
10330495 8.472356e-03 3.7137 3.5753 3.74 4.73
10352603 1.059213e+00 3.7896 3.7865 4.02 3.99
10383696 1.271082e-01 3.7229 3.5849 4.38 4.36
10385682 8.641822e-01 3.7526 3.7545 4.13 4.19
10420279 7.842587e-01 3.7583 3.7493 4.38 4.43
10454401 9.395254e-01 3.7460 3.7414 4.46 4.46
10483644 1.691812e-02 3.7895 3.5710 4.43 4.76
10491554 8.851508e-01 4.3401 4.3321 4.40 4.42
10581918 1.565264e-01 3.9484 3.7420 4.10 4.04
10601579 7.881893e-01 3.7979 3.7860 4.04 4.08
10651945 9.268527e-02 3.7757 3.6577 4.33 4.65
10686876 3.555868e-02 3.9698 3.7510 4.17 4.51
10735564 8.920177e-02 4.0501 3.8436 4.11 4.29
10736223 1.455716e-01 3.9486 3.7399 4.23 4.17
10849244 1.006714e+00 3.7906 3.7908 4.39 4.39
10857589 6.366433e-02 3.7713 3.7468 3.69 4.58
10923260 4.083946e-03 3.7948 3.5339 4.48 4.97
10935310 4.943585e-02 3.7714 3.6137 4.38 4.70
10965963 5.150528e-01 3.7931 3.7864 4.10 4.33
10987439 1.630030e+00 3.8066 3.8795 4.21 4.34
11073223 2.399435e-01 3.7428 3.7054 4.20 4.53
11147276 2.165264e-01 3.7969 3.7246 4.33 4.57
11198723 9.319100e-02 3.7780 3.6673 4.33 4.59
11228612 9.317483e-02 3.7579 3.6395 4.35 4.62
11232745 4.938555e-01 3.7370 3.6963 4.56 4.63
11233911 3.006264e+00 3.7459 3.7239 4.44 3.91
11235323 1.928431e+00 3.8587 3.7520 4.08 3.43
11250867 3.630135e-02 3.8198 3.6311 4.37 4.61
11252617 1.244550e-02 3.7882 3.5889 4.15 4.79
11287726 1.655341e-01 3.7376 3.6525 3.97 4.02
11403216 4.078832e-03 3.7653 3.5227 4.20 4.79
11409698 2.757403e-02 3.7899 3.6096 4.26 4.67
11506235 2.723157e-02 3.8001 3.6268 4.29 4.84
11615481 9.822891e-01 3.7660 3.7676 4.19 4.20
11616200 2.680804e-02 3.7863 3.6261 4.12 4.64
11619964 7.014297e-02 3.7855 3.6339 4.47 4.69
11656302 1.659322e-03 3.7203 3.5261 3.75 4.93
11671429 2.370474e-01 3.8726 3.8579 3.74 4.18
11704044 8.810442e-01 3.7370 3.7299 4.56 4.58
